Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,12970,7029,42174.0,77820.0,

Kills:,0
Deaths:,0
Fight Time:,0.0
Avg TTK:,0
Damage Done:,42174.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,126522.0
Scenario:,Vertical Long Strafes 10 Min
Hash:,8620300c1fd4fc85ae1924912dc244d8
Game Version:,2.0.5.3
Challenge Start:,02:34:00.086
Pause Count:,10
Pause Duration:,69

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,317.251953
Resolution Scale,100.0
